1 1 287
2 2 9933
3 3 5235
4 4 6300
5 5 7419
6 6 8385
7 7 9511
8 8 3397
9 9 5091
10 10 5105
11 11 9208
12 12 4423
13 13 2420
14 14 7993
15 15 3371
16 16 9712
17 17 3513
18 18 952
19 19 4306
20 20 3897
21 21 7367
22 22 8671
23 23 5857
24 24 3743
25 25 8140
26 26 6856
27 27 2078
28 28 9930
29 29 7003
30 30 9639
31 31 2625
32 32 9407
33 33 9310
34 34 9693
35 35 4494
36 36 5291
37 37 811
38 38 4961
39 39 653
40 40 2072
41 41 9460
42 42 2121
43 43 4170
44 44 4228
45 45 2281
46 46 7869
47 47 3038
48 48 1261
49 49 3731
50 50 2078
51 51 657
52 52 1704
53 53 4418
54 54 4357
55 55 6899
56 56 731
57 57 1370
58 58 9827
59 59 7124
60 60 283
61 61 7617
62 62 4541
63 63 6794
64 64 4371
65 65 8312
66 66 5269
67 67 4283
68 68 4435
69 69 1152
70 70 6523
71 71 4360
72 72 4907
73 73 908
74 74 6344
75 75 9213
76 76 1440
77 77 9388
78 78 3829
79 79 1320
80 80 2866
81 81 6167
82 82 7927
83 83 1784
84 84 8817
85 85 3543
86 86 7607
87 87 7349
88 88 3890
89 89 1478
90 90 8059
91 91 9668
92 92 6563
93 93 4454
94 94 5459
95 95 7842
96 96 5061
97 97 6799
98 98 8796
99 99 1975
100 100 2572
101 101 8223
102 102 32
103 103 2206
104 104 3288
105 105 9198
106 106 1716
107 107 9095
108 108 9469
109 109 8761
110 110 5538
111 111 6491
112 112 5726
113 113 948
114 114 3566
115 115 3153
116 116 8584
117 117 664
118 118 9768
119 119 9922
120 120 8000
121 121 9908
122 122 7779
123 123 8519
124 124 7274
125 125 4891
126 126 8515
127 127 7855
128 128 1179
129 129 7356
130 130 4152
131 131 9225
132 132 7397
133 133 5645
134 134 9877
135 135 3274
136 136 1305
137 137 1234
138 138 5823
139 139 7951
140 140 6706
141 141 2381
142 142 6996
143 143 4182
144 144 3814
145 145 6920
146 146 323
147 147 1446
148 148 5926
149 149 4211
150 150 2637
151 151 2020
152 152 8408
153 153 9816
154 154 4615
155 155 7180
156 156 6845
157 157 8654
158 158 7861
159 159 4062
160 160 9477
161 161 2610
162 162 7943
163 163 7912
164 164 3471
165 165 273
166 166 3898
167 167 5775
168 168 108
169 169 9244
170 170 4578
171 171 8812
172 172 5618
